"","time_date","bis","entropy","emg","attack"
"1","05/10/2022 20:18:02","97.2","7.7","47.1",0
"2","05/10/2022 20:18:03","97.6","7.6","46.6",0
"3","05/10/2022 20:18:04","97.4","7.5","46.1",0
"4","05/10/2022 20:18:05","97.4","7.8","46.2",0
"5","05/10/2022 20:18:06","97.3","7.7","46",0
"6","05/10/2022 20:18:07","96.6","7.1","45.7",0
"7","05/10/2022 20:18:08","95","7.8","45.5",0
"8","05/10/2022 20:18:09","93.7","8","45.7",0
"9","05/10/2022 20:18:10","93.9","7.9","45.7",0
"10","05/10/2022 20:18:11","95.2","7.4","45.9",0
"11","05/10/2022 20:18:12","96.4","8.1","45.9",0
"12","05/10/2022 20:18:13","96.5","7.4","45.7",0
"13","05/10/2022 20:18:14","95.6","7.6","45.8",0
"14","05/10/2022 20:18:15","94.7","7.7","46.5",0
"15","05/10/2022 20:18:16","94.7","7.6","46.5",0
"16","05/10/2022 20:18:17","94.7","7.1","46.9",0
"17","05/10/2022 20:18:18","95.6","7.8","47.1",0
"18","05/10/2022 20:18:19","96.6","7.9","46.7",0
"19","05/10/2022 20:18:20","97","7.4","46.2",0
"20","05/10/2022 20:18:21","97","8.1","46.5",0
"21","05/10/2022 20:18:22","97","7.7","46.3",0
"22","05/10/2022 20:18:23","97","7.4","46.4",0
"23","05/10/2022 20:18:24","96","7.7","46.7",0
"24","05/10/2022 20:18:25","95.6","7.9","46.8",0
"25","05/10/2022 20:18:26","95.5","7.9","46.7",0
"26","05/10/2022 20:18:27","96","8.1","47",0
"27","05/10/2022 20:18:28","96.4","7.6","47.1",0
"28","05/10/2022 20:18:29","95.3","7.5","47.1",0
"29","05/10/2022 20:18:30","95.3","8.1","46.9",1
"30","05/10/2022 20:18:31","95.3","7.9","46.7",1
"31","05/10/2022 20:18:32","96.9","8","46.2",1
"32","05/10/2022 20:18:33","97.1","7.8","46",1
"33","05/10/2022 20:18:34","97","7.5","46.1",1
"34","05/10/2022 20:18:35","96.1","7.7","46",1
"35","05/10/2022 20:18:36","96.3","8","45.7",1
"36","05/10/2022 20:18:37","97","7.8","45.7",1
"37","05/10/2022 20:18:38","97.3","7.6","45.5",1
"38","05/10/2022 20:18:39","97.3","8","44.6",1
"39","05/10/2022 20:18:40","97","7.9","44.4",1
"40","05/10/2022 20:18:41","96.9","7.9","44.8",1
"41","05/10/2022 20:18:42","96.3","7.7","44.9",1
"42","05/10/2022 20:18:43","96.3","7.7","45.2",1
"43","05/10/2022 20:18:44","97.4","7.7","45.9",1
"44","05/10/2022 20:18:45","97.4","7.9","46.3",1
"45","05/10/2022 20:18:46","97.4","7.9","46.3",1
"46","05/10/2022 20:18:47","97.4","8.1","46.2",1
"47","05/10/2022 20:18:48","97.3","8.1","45.7",1
"48","05/10/2022 20:18:49","97.3","8.2","45.3",1
"49","05/10/2022 20:18:50","97.3","7.7","45",1
"50","05/10/2022 20:18:51","97.2","7.7","44.4",1
"51","05/10/2022 20:18:52","97.2","7.8","44.6",1
"52","05/10/2022 20:18:53","97.2","8","45",1
"53","05/10/2022 20:18:54","97.1","7.9","45.1",1
"54","05/10/2022 20:18:55","97.1","8.1","45.2",1
"55","05/10/2022 20:18:56","97.1","8.3","45.6",1
"56","05/10/2022 20:18:57","97.1","7.9","45.5",1
"57","05/10/2022 20:18:58","97.1","7.9","45.3",1
"58","05/10/2022 20:18:59","97.2","7.7","45.5",1
"59","05/10/2022 20:19:00","97.2","7.8","45.3",1
"60","05/10/2022 20:19:01","97.1","8","44.7",1
"61","05/10/2022 20:19:02","97.2","7.8","44.4",1
"62","05/10/2022 20:19:03","97.2","7.9","43.8",1
"63","05/10/2022 20:19:04","97.2","8.2","43.4",1
"64","05/10/2022 20:19:05","97.2","8.1","43.4",1
"65","05/10/2022 20:19:06","97.3","7.8","44.1",1
"66","05/10/2022 20:19:07","97.3","8.3","44.8",1
"67","05/10/2022 20:19:08","97.3","7.6","45.4",1
