"","time_date","bis","entropy","emg","attack"
"1","05/30/2022 19:06:37","95.1","8.6","50",0
"2","05/30/2022 19:06:38","95.1","8","51.8",0
"3","05/30/2022 19:06:39","95.3","7.3","51.9",0
"4","05/30/2022 19:06:40","95.3","7.8","50.6",0
"5","05/30/2022 19:06:41","95.3","8.1","51",0
"6","05/30/2022 19:06:42","95.3","7.8","50.6",0
"7","05/30/2022 19:06:43","95.3","7.8","50.8",0
"8","05/30/2022 19:06:44","95.3","7.4","49.9",0
"9","05/30/2022 19:06:45","95.3","7.3","51.9",0
"10","05/30/2022 19:06:46","95.3","7.6","50.4",0
"11","05/30/2022 19:06:47","95.6","6.5","49.5",0
"12","05/30/2022 19:06:48","95.6","8.1","48.5",0
"13","05/30/2022 19:06:49","95.6","7.9","49.3",0
"14","05/30/2022 19:06:50","95.6","7.5","50.8",0
"15","05/30/2022 19:06:51","95.8","8.7","52",0
"16","05/30/2022 19:06:52","95.8","7","52.6",0
"17","05/30/2022 19:06:53","95.8","7.4","53.3",0
"18","05/30/2022 19:06:54","95.8","8.6","53.4",0
"19","05/30/2022 19:06:55","95.8","7.1","51.9",0
"20","05/30/2022 19:06:56","96.1","8","51.8",0
"21","05/30/2022 19:06:57","96.5","5.5","52.5",0
"22","05/30/2022 19:06:58","97","6.2","53.1",0
"23","05/30/2022 19:06:59","97","6.4","53.5",0
"24","05/30/2022 19:07:00","97","5.7","53.1",0
"25","05/30/2022 19:07:01","97","9.6","52.7",0
"26","05/30/2022 19:07:02","97","7.3","52.1",0
"27","05/30/2022 19:07:03","97","7.3","52.9",0
"28","05/30/2022 19:07:04","97.1","7.6","51.6",0
"29","05/30/2022 19:07:05","97.1","9.2","51.7",0
"30","05/30/2022 19:07:06","96.9","7.5","52",0
"31","05/30/2022 19:07:07","97.1","7.7","52.7",0
"32","05/30/2022 19:07:08","97.2","6.7","52.1",0
"33","05/30/2022 19:07:09","97.2","7.7","53.2",0
"34","05/30/2022 19:07:10","97.3","10.1","52.7",0
"35","05/30/2022 19:07:11","97.4","7.7","52.9",0
"36","05/30/2022 19:07:12","97.4","7.1","52.8",0
"37","05/30/2022 19:07:13","97.4","8.8","52.5",0
"38","05/30/2022 19:07:14","97.4","8.7","52.9",0
"39","05/30/2022 19:07:15","97.4","7.5","53.3",0
"40","05/30/2022 19:07:16","97.4","7.2","53.2",0
"41","05/30/2022 19:07:17","97.3","7.7","53.2",0
"42","05/30/2022 19:07:18","97.2","6.5","53.7",0
"43","05/30/2022 19:07:19","97.2","8.5","53.6",0
"44","05/30/2022 19:07:20","97.2","7.1","53.6",0
"45","05/30/2022 19:07:21","97.2","8.6","53.2",0
"46","05/30/2022 19:07:22","97.2","8.5","52.4",0
"47","05/30/2022 19:07:23","97.2","7.4","50.7",0
"48","05/30/2022 19:07:24","97.3","8","50.6",0
"49","05/30/2022 19:07:25","97.3","8","51.2",0
"50","05/30/2022 19:07:26","97.2","8.1","50.8",0
"51","05/30/2022 19:07:27","97.2","8.8","51.3",0
"52","05/30/2022 19:07:28","97.2","7","52.4",0
"53","05/30/2022 19:07:29","97.2","8.6","52.8",0
"54","05/30/2022 19:07:30","97.2","8.7","52.6",0
"55","05/30/2022 19:07:31","97.2","7.2","53.4",0
"56","05/30/2022 19:07:32","97.3","7.4","53.7",0
"57","05/30/2022 19:07:33","97.2","9.3","53.7",0
"58","05/30/2022 19:07:34","97.2","7.7","53.9",0
"59","05/30/2022 19:07:35","97.2","8.2","53.9",0
"60","05/30/2022 19:07:36","97.4","7.4","52.8",0
"61","05/30/2022 19:07:37","97.4","7.5","52.7",0
"62","05/30/2022 19:07:38","97.4","8.3","53",0
"63","05/30/2022 19:07:39","97.4","7.2","52.9",0
