"","time_date","bis","entropy","emg","attack"
"1","05/30/2022 19:12:39","96.6","8.8","47.1",0
"2","05/30/2022 19:12:40","96.5","9.1","47.5",0
"3","05/30/2022 19:12:41","96.2","9.5","47.6",0
"4","05/30/2022 19:12:42","96.2","8.1","47.3",0
"5","05/30/2022 19:12:43","96.1","9.1","47.2",0
"6","05/30/2022 19:12:44","96.1","9.1","46.9",0
"7","05/30/2022 19:12:45","96.2","9.2","46.7",0
"8","05/30/2022 19:12:46","95.8","9.4","46.7",0
"9","05/30/2022 19:12:47","96","8.5","46.9",0
"10","05/30/2022 19:12:48","96","9.3","46.8",0
"11","05/30/2022 19:12:49","96.2","9.4","46.3",0
"12","05/30/2022 19:12:50","96.3","9.9","45.9",0
"13","05/30/2022 19:12:51","96.7","8.9","45.8",0
"14","05/30/2022 19:12:52","97","9.7","45.5",0
"15","05/30/2022 19:12:53","97","8.8","45.1",0
"16","05/30/2022 19:12:54","97","8.4","45.6",0
"17","05/30/2022 19:12:55","96.6","9.2","45.5",0
"18","05/30/2022 19:12:56","96.3","9.1","45.5",0
"19","05/30/2022 19:12:57","96.1","8.9","45.3",0
"20","05/30/2022 19:12:58","95.8","8.8","45.5",0
"21","05/30/2022 19:12:59","95.6","8.9","44.9",0
"22","05/30/2022 19:13:00","95.8","8.7","44.6",0
"23","05/30/2022 19:13:01","95.5","9","44.2",0
"24","05/30/2022 19:13:02","95.3","8.8","44",0
"25","05/30/2022 19:13:03","95.8","8.7","43.4",0
"26","05/30/2022 19:13:04","95.9","9.2","43.5",0
"27","05/30/2022 19:13:05","96","8.8","43.5",0
"28","05/30/2022 19:13:06","95.9","9.4","43.2",0
"29","05/30/2022 19:13:07","95.9","8.6","43.7",0
"30","05/30/2022 19:13:08","95.9","8.9","44.5",0
"31","05/30/2022 19:13:09","95.9","9","45.5",0
"32","05/30/2022 19:13:10","95.9","9.1","46.6",0
"33","05/30/2022 19:13:11","95.9","8.7","47.6",0
"34","05/30/2022 19:13:12","95","8.9","47.6",0
"35","05/30/2022 19:13:13","94.7","9.1","48.5",0
"36","05/30/2022 19:13:14","94.9","9.6","48.6",0
