"","time_date","bis","entropy","emg","attack"
"1","05/31/2022 20:03:10","95.4","10.3","44",0
"2","05/31/2022 20:03:11","95.3","10.4","44.3",0
"3","05/31/2022 20:03:12","95.1","10.9","44.3",0
"4","05/31/2022 20:03:13","95.1","9.5","43.5",0
"5","05/31/2022 20:03:14","95.1","9.9","43.5",0
"6","05/31/2022 20:03:15","95.1","10.2","42.6",0
"7","05/31/2022 20:03:16","95.1","10.2","41.7",0
"8","05/31/2022 20:03:17","95.3","10.4","42",0
"9","05/31/2022 20:03:18","95.3","10.3","41.8",0
"10","05/31/2022 20:03:19","95","10.8","41.1",0
"11","05/31/2022 20:03:20","95","9.9","41.7",0
"12","05/31/2022 20:03:21","95","10","42.1",0
"13","05/31/2022 20:03:22","95.2","10.1","40.9",0
"14","05/31/2022 20:03:23","95.4","10","41.1",0
"15","05/31/2022 20:03:24","95.4","10.1","42.4",0
"16","05/31/2022 20:03:25","95.4","10","42.8",0
"17","05/31/2022 20:03:26","95.4","10.2","42.5",0
"18","05/31/2022 20:03:27","95.4","10.5","42.8",0
"19","05/31/2022 20:03:28","95.4","9.8","42.8",0
"20","05/31/2022 20:03:29","95.4","10.1","41.9",0
"21","05/31/2022 20:03:30","95","10.4","41.2",0
"22","05/31/2022 20:03:31","95.1","9.9","42.1",0
"23","05/31/2022 20:03:32","95.6","10.1","43",0
"24","05/31/2022 20:03:33","95.7","10","43.4",0
"25","05/31/2022 20:03:34","95.7","10.3","43.4",0
"26","05/31/2022 20:03:35","95.8","10.2","43.7",0
"27","05/31/2022 20:03:36","96.3","10.2","42.3",0
"28","05/31/2022 20:03:37","96.3","10","41.3",0
"29","05/31/2022 20:03:38","96.3","10","40.7",0
"30","05/31/2022 20:03:39","96.3","10.2","40",0
"31","05/31/2022 20:03:40","96.3","10.2","39.4",0
"32","05/31/2022 20:03:41","96.3","10","40.4",0
"33","05/31/2022 20:03:42","96.4","10.1","41",0
"34","05/31/2022 20:03:43","96.2","10","40.9",0
"35","05/31/2022 20:03:44","96.2","9.7","41.2",0
"36","05/31/2022 20:03:45","95.8","9.8","41.4",0
"37","05/31/2022 20:03:46","95.5","10","40.6",0
"38","05/31/2022 20:03:47","95.6","10","40.1",0
"39","05/31/2022 20:03:48","95.6","10","39.9",0
"40","05/31/2022 20:03:49","95.6","10.2","41.2",0
"41","05/31/2022 20:03:50","95.3","9.9","40.8",0
"42","05/31/2022 20:03:51","95.3","9.8","41.1",0
"43","05/31/2022 20:03:52","95.3","10.1","40.5",0
"44","05/31/2022 20:03:53","95.1","10.1","40.5",0
"45","05/31/2022 20:03:54","95.1","10","39.9",0
"46","05/31/2022 20:03:55","95.1","10.1","40.7",0
"47","05/31/2022 20:03:56","95.1","10.3","41.4",0
"48","05/31/2022 20:03:57","95.1","10.3","41.6",0
"49","05/31/2022 20:03:58","95.1","9.9","41.4",0
"50","05/31/2022 20:03:59","95.1","10","40.5",0
"51","05/31/2022 20:04:00","95.5","10","40",0
"52","05/31/2022 20:04:01","95.6","10","39.1",0
"53","05/31/2022 20:04:02","94.9","9.8","40",0
"54","05/31/2022 20:04:03","94.9","9.8","40.5",0
"55","05/31/2022 20:04:04","94.9","10.1","40.9",0
"56","05/31/2022 20:04:05","94.9","10.1","41.4",0
"57","05/31/2022 20:04:06","94.9","10.1","41.1",0
"58","05/31/2022 20:04:07","95.2","9.8","41",0
"59","05/31/2022 20:04:08","94.6","10.1","41",0
"60","05/31/2022 20:04:09","93.9","9.9","41.3",0
"61","05/31/2022 20:04:10","93.9","10.1","40.5",0
"62","05/31/2022 20:04:11","93.9","10.3","40.4",0
"63","05/31/2022 20:04:12","93.9","10","40.3",0
"64","05/31/2022 20:04:13","93.9","10.3","40.8",0
"65","05/31/2022 20:04:14","93.9","10.1","39.6",0
"66","05/31/2022 20:04:15","93.4","10.1","39.6",0
"67","05/31/2022 20:04:16","93.2","9.9","39.5",0
"68","05/31/2022 20:04:17","93.8","10.1","38.8",0
"69","05/31/2022 20:04:18","94","10.1","38.1",0
"70","05/31/2022 20:04:19","93.9","10.1","37.6",0
"71","05/31/2022 20:04:20","93.3","10","37.4",0
"72","05/31/2022 20:04:21","92.8","10","37.4",0
"73","05/31/2022 20:04:22","93","9.9","37.5",0
"74","05/31/2022 20:04:23","93.3","10.2","37.5",0
"75","05/31/2022 20:04:24","93.1","9.8","37.6",0
"76","05/31/2022 20:04:25","93.1","10","37.8",0
"77","05/31/2022 20:04:26","93.1","10.1","37.6",0
"78","05/31/2022 20:04:27","92.8","10.2","37.9",0
"79","05/31/2022 20:04:28","93.3","9.9","38.7",0
"80","05/31/2022 20:04:29","93.4","9.8","39.8",0
"81","05/31/2022 20:04:30","93.4","10","39.6",0
"82","05/31/2022 20:04:31","93.4","9.9","40.6",0
"83","05/31/2022 20:04:32","93.4","10","40.5",0
"84","05/31/2022 20:04:33","93.4","9.9","39.8",0
"85","05/31/2022 20:04:34","93.4","10.5","40",0
"86","05/31/2022 20:04:35","93.4","10","41.1",0
"87","05/31/2022 20:04:36","93.4","9.9","40.8",0
"88","05/31/2022 20:04:37","93.2","10","41.5",0
"89","05/31/2022 20:04:38","93.6","10.2","41.7",0
"90","05/31/2022 20:04:39","93.4","10.2","40.6",0
"91","05/31/2022 20:04:40","93.4","10","39.6",0
"92","05/31/2022 20:04:41","93.5","10","38.9",1
"93","05/31/2022 20:04:42","93.5","10.1","37.7",1
"94","05/31/2022 20:04:43","93.2","10.2","37.1",1
"95","05/31/2022 20:04:44","92.5","10.1","36.9",1
"96","05/31/2022 20:04:45","91.9","10.1","36.6",1
"97","05/31/2022 20:04:46","91.7","9.9","36.6",1
"98","05/31/2022 20:04:47","91.2","10.1","36.7",1
"99","05/31/2022 20:04:48","91","10.2","36.7",1
"100","05/31/2022 20:04:49","90.7","10","36.8",1
"101","05/31/2022 20:04:50","90.4","10.1","38.2",1
"102","05/31/2022 20:04:51","90.2","10.3","38.9",1
"103","05/31/2022 20:04:52","90.4","10","40.2",1
"104","05/31/2022 20:04:53","91.1","9.7","41.8",1
"105","05/31/2022 20:04:54","91.1","10.2","43.9",1
"106","05/31/2022 20:04:55","91.1","9.8","46.2",1
"107","05/31/2022 20:04:56","91.1","10.7","46.7",1
"108","05/31/2022 20:04:57","91.1","9.7","46.2",1
"109","05/31/2022 20:04:58","91.1","9.9","44.5",1
"110","05/31/2022 20:04:59","91.2","10.1","43.2",1
"111","05/31/2022 20:05:00","91.4","10.2","40.7",1
"112","05/31/2022 20:05:01","91.3","9.9","39.8",1
"113","05/31/2022 20:05:02","91.3","10.1","39.4",1
"114","05/31/2022 20:05:03","91.3","10.3","40.2",1
"115","05/31/2022 20:05:04","91.3","10","39.6",1
"116","05/31/2022 20:05:05","91.3","9.9","38.5",1
"117","05/31/2022 20:05:06","90.7","10.1","37.9",1
"118","05/31/2022 20:05:07","90.1","9.9","38.9",1
"119","05/31/2022 20:05:08","89.3","10.1","39.6",1
"120","05/31/2022 20:05:09","89.3","10.4","39.4",1
"121","05/31/2022 20:05:10","89.3","9.9","40.3",1
"122","05/31/2022 20:05:11","89.3","10.1","40.5",1
"123","05/31/2022 20:05:12","89.7","9.9","39.2",1
"124","05/31/2022 20:05:13","89.7","10","37.2",1
"125","05/31/2022 20:05:14","89.5","10","36.9",1
"126","05/31/2022 20:05:15","89.5","9.9","36",1
"127","05/31/2022 20:05:16","89.8","9.9","36",2
"128","05/31/2022 20:05:17","87.3","10.1","37.1",2
"129","05/31/2022 20:05:18","87.3","10.1","38",2
"130","05/31/2022 20:05:19","87.1","10","39.7",2
"131","05/31/2022 20:05:20","87.1","9.9","41.5",2
"132","05/31/2022 20:05:21","87.1","10","41.9",2
"133","05/31/2022 20:05:22","87.1","10.2","41.1",2
"134","05/31/2022 20:05:23","87.1","9.9","42.1",2
"135","05/31/2022 20:05:24","87.1","9.8","41",2
"136","05/31/2022 20:05:25","87.1","10","40",2
"137","05/31/2022 20:05:26","87.1","10.2","40.3",2
"138","05/31/2022 20:05:27","87.8","9.9","40.6",2
"139","05/31/2022 20:05:28","90.7","10","40",2
"140","05/31/2022 20:05:29","90.6","9.8","39.8",2
"141","05/31/2022 20:05:30","90.4","9.9","39.7",2
"142","05/31/2022 20:05:31","91.1","9.8","39.5",2
"143","05/31/2022 20:05:32","91.6","9.7","40",2
"144","05/31/2022 20:05:33","92.1","10.1","39.9",2
"145","05/31/2022 20:05:34","92.1","9.8","39.9",2
"146","05/31/2022 20:05:35","92.1","9.9","39.1",2
"147","05/31/2022 20:05:36","92.1","9.9","38.1",2
"148","05/31/2022 20:05:37","91.7","10.1","36.7",2
"149","05/31/2022 20:05:38","90.6","9.9","36.1",2
"150","05/31/2022 20:05:39","92.5","10.1","35.9",2
"151","05/31/2022 20:05:40","92.4","9.9","36.4",2
"152","05/31/2022 20:05:41","92.6","9.9","36.8",2
"153","05/31/2022 20:05:42","93","9.9","36.5",2
"154","05/31/2022 20:05:43","93","9.9","36.2",2
"155","05/31/2022 20:05:44","93.1","9.8","36.1",2
"156","05/31/2022 20:05:45","93.1","9.9","37.4",2
"157","05/31/2022 20:05:46","92.6","9.8","38.6",2
"158","05/31/2022 20:05:47","92.3","10.1","40.1",2
"159","05/31/2022 20:05:48","92.3","9.8","42.3",2
"160","05/31/2022 20:05:49","92.3","9.4","43.1",2
"161","05/31/2022 20:05:50","92.3","10.3","41.7",2
"162","05/31/2022 20:05:51","92.3","9.7","40.8",2
"163","05/31/2022 20:05:52","92.3","9.8","39.3",2
"164","05/31/2022 20:05:53","92.3","9.8","36.9",2
"165","05/31/2022 20:05:54","91.6","9.8","35.7",2
"166","05/31/2022 20:05:55","88.2","9.9","35.3",2
"167","05/31/2022 20:05:56","90","9.9","34.6",2
"168","05/31/2022 20:05:57","90.6","9.7","34.5",2
"169","05/31/2022 20:05:58","90.9","9.8","34.6",2
"170","05/31/2022 20:05:59","90.6","9.8","35.1",2
"171","05/31/2022 20:06:00","88.3","9.7","34.8",2
