"","mean","std","mode","std/mean","max","min","attack","file"
"1",97.14,0.0894427190999937,97.2,0.000920760954292708,97.2,97,0,"bis_limpio_09-06.csv"
"2",95.38,0.71554175279993,94.9,0.00750201040889002,96.5,94.9,0,"bis_limpio_09-06.csv"
"3",94.5,0.299999999999998,94.4,0.00317460317460316,95,94.2,0,"bis_limpio_09-06.csv"
"4",93.66,0.466904701197149,93.6,0.00498510251118033,94.3,93,0,"bis_limpio_09-06.csv"
"5",92.78,0.238746727726266,93.1,0.00257325638851332,93.1,92.5,0,"bis_limpio_09-06.csv"
"6",93.4,0.308220700148444,93.6,0.00330000749623602,93.6,92.9,0,"bis_limpio_09-06.csv"
"7",94.1,0.761577310586394,94.9,0.00809327641430812,94.9,93.3,0,"bis_limpio_09-06.csv"
"8",93.76,0.541294744108974,93.2,0.00577319479638411,94.4,93.2,0,"bis_limpio_09-06.csv"
"9",93.92,0.178885438199983,93.9,0.0019046575617545,94.2,93.7,0,"bis_limpio_09-06.csv"
"10",93.58,0.0447213595499933,93.6,0.000477894417076226,93.6,93.5,0,"bis_limpio_09-06.csv"
"11",94.72,0.657267069006203,94.8,0.00693905267109589,95.2,93.6,0,"bis_limpio_09-06.csv"
"12",94.96,0.26076809620811,95.2,0.00274608357422188,95.2,94.6,0,"bis_limpio_09-06.csv"
"13",95.3,0,95.3,0,95.3,95.3,0,"bis_limpio_09-06.csv"
"14",95.02,0.27748873851023,95.3,0.00292031928552126,95.3,94.7,0,"bis_limpio_09-06.csv"
"15",95.18,0.268328157299972,95,0.00281916534250864,95.6,95,0,"bis_limpio_09-06.csv"
"16",93.82,0.687022561492704,94.1,0.00732277298542639,94.6,93,0,"bis_limpio_09-06.csv"
"17",94.62,0.204939015319192,94.6,0.00216591645866827,94.8,94.3,0,"bis_limpio_09-06.csv"
"18",94.88,0.109544511501035,94.8,0.00115455851076133,95,94.8,0,"bis_limpio_09-06.csv"
"19",94.88,0.0447213595499996,94.9,0.000471346538258849,94.9,94.8,0,"bis_limpio_09-06.csv"
